seed,sigma,correlation,estimator,corr_theta,spear_theta,corr_beta,spear_beta,corr_X_missing,rmse_theta,rmse_beta,rmse_X
16,0.5,theta,EM,0.986945,0.991287,0.981514,0.98087,0.911333,0.646871,0.667809,0.674277
16,0.5,theta,Day,0.986945,0.990689,0.489705,0.486558,0.450921,0.646872,1.818792,1.512579
16,0.5,theta,Imp,0.976976,0.994399,0.938342,0.945217,0.895399,0.431718,0.720617,0.792479
17,0.5,theta,EM,0.978031,0.994206,0.971976,0.984127,0.891185,0.761393,0.645339,0.694379
17,0.5,theta,Day,0.978031,0.994136,0.706061,0.707721,0.613449,0.761394,1.263565,1.100245
17,0.5,theta,Imp,0.965645,0.996137,0.915777,0.920635,0.871791,0.573279,0.725636,0.829176
18,0.5,theta,EM,0.932961,0.99187,0.989362,0.993694,0.856089,0.959704,0.463083,0.663595
18,0.5,theta,Day,0.932961,0.991508,0.664569,0.692977,0.481176,0.959705,1.340125,1.235804
18,0.5,theta,Imp,0.929117,0.991979,0.959329,0.935421,0.85537,0.766572,0.510377,0.763481
19,0.5,theta,EM,0.980513,0.989243,0.980178,0.975652,0.923271,0.580785,0.501842,0.644625
19,0.5,theta,Day,0.980513,0.989257,0.321885,0.317,0.569385,0.580785,1.652669,1.458028
19,0.5,theta,Imp,0.981721,0.994872,0.9082,0.877147,0.885478,0.419185,0.733928,0.83259
20,0.5,theta,EM,0.969474,0.995109,0.978924,0.978261,0.92656,0.869295,0.614422,0.697078
20,0.5,theta,Day,0.969474,0.995025,0.495575,0.449698,0.654008,0.869296,1.505939,1.274839
20,0.5,theta,Imp,0.962952,0.996943,0.879421,0.845836,0.874448,0.680595,0.837969,0.90302
21,0.5,theta,EM,0.985443,0.995622,0.987259,0.992174,0.927834,0.618222,0.579996,0.63757
21,0.5,theta,Day,0.985443,0.995789,0.435401,0.398093,0.53082,0.618223,1.698342,1.445301
21,0.5,theta,Imp,0.98246,0.996122,0.921686,0.901739,0.897939,0.422963,0.72765,0.794592
22,0.5,theta,EM,0.984446,0.996275,0.963927,0.975652,0.936535,0.740673,0.596152,0.623577
22,0.5,theta,Day,0.984446,0.996206,0.28252,0.228535,0.796732,0.740676,1.411381,1.138185
22,0.5,theta,Imp,0.987637,0.996539,0.789422,0.713789,0.865889,0.602408,0.944,0.925541
23,0.5,theta,EM,0.978796,0.997527,0.978546,0.987606,0.941315,0.68454,0.547778,0.637265
23,0.5,theta,Day,0.978796,0.997818,0.192664,0.095837,0.692171,0.684541,1.588601,1.359373
23,0.5,theta,Imp,0.975662,0.997679,0.863883,0.83018,0.894982,0.63448,0.814843,0.889885
24,0.5,theta,EM,0.980673,0.99333,0.987055,0.97195,0.911223,0.799293,0.711798,0.732768
24,0.5,theta,Day,0.980673,0.99351,0.592292,0.479186,0.593737,0.799294,1.614597,1.356429
24,0.5,theta,Imp,0.962233,0.993858,0.921415,0.892803,0.877716,0.656646,0.75798,0.895891
25,0.5,theta,EM,0.983674,0.992482,0.974792,0.990215,0.897746,0.75433,0.613818,0.722334
25,0.5,theta,Day,0.983674,0.992384,0.566702,0.545535,0.566195,0.754332,1.584546,1.389373
25,0.5,theta,Imp,0.970088,0.990562,0.917786,0.91692,0.8568,0.532244,0.758411,0.87641
26,0.5,theta,EM,0.970357,0.995845,0.977887,0.986736,0.895663,1.023381,0.872501,0.787909
26,0.5,theta,Day,0.970357,0.996067,0.482352,0.375977,0.567901,1.023382,1.819836,1.447146
26,0.5,theta,Imp,0.959752,0.996067,0.902484,0.862114,0.883275,0.881751,0.880602,0.941751
27,0.5,theta,EM,0.985438,0.991802,0.962206,0.997173,0.894488,0.436109,0.537534,0.637486
27,0.5,theta,Day,0.985438,0.991871,0.448456,0.464442,0.596599,0.43611,1.378692,1.232164
27,0.5,theta,Imp,0.983197,0.99522,0.892508,0.902524,0.874025,0.328728,0.720944,0.81051
28,0.5,theta,EM,0.97526,0.992772,0.985312,0.984997,0.918936,0.843379,0.715046,0.722075
28,0.5,theta,Day,0.97526,0.992785,0.552181,0.545535,0.402283,0.84338,1.807182,1.514235
28,0.5,theta,Imp,0.970893,0.993564,0.940945,0.940409,0.91718,0.5614,0.734541,0.807294
29,0.5,theta,EM,0.977055,0.997193,0.966522,0.981518,0.93399,0.709688,0.578186,0.651409
29,0.5,theta,Day,0.977055,0.997249,0.260436,0.228535,0.745476,0.709688,1.446872,1.247354
29,0.5,theta,Imp,0.971747,0.99554,0.812428,0.777295,0.896497,0.712141,0.872058,0.924396
30,0.5,theta,EM,0.948493,0.994551,0.956055,0.987386,0.836879,0.777083,0.669189,0.692302
30,0.5,theta,Day,0.948493,0.994328,0.587248,0.626628,0.477146,0.777084,1.431427,1.224369
30,0.5,theta,Imp,0.948418,0.995051,0.920635,0.937133,0.842436,0.610784,0.684421,0.813489
